,Athlete,Bodyweight (kg),Snatch (kg),Clean & Jerk (kg),Total (kg),Ranking,Url,Title,Year,Gender
0,Halil Mutlu (TUR),55.62,137.5,167.5,305.0,1,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
1,Wu Wenxiong (CHN),55.48,125.0,162.5,287.5,2,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
2,Zhang Xiangxiang (CHN),55.94,125.0,162.5,287.5,3,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
3,Wang Shin-yuan (TPE),55.38,125.0,160.0,285.0,4,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
4,Sergio Álvarez (CUB),55.66,120.0,155.0,275.0,5,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
5,Adrian Jigău (ROM),55.72,122.5,152.5,275.0,6,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
6,Vitali Dzerbianiou (BLR),55.96,125.0,150.0,275.0,7,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
7,Yang Chin-yi (TPE),55.58,120.0,150.0,270.0,8,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
8,Oleksandr Likhvald (UKR),55.86,120.0,155.0,270.0,9,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
9,Hwang Kyu-dong (KOR),55.94,115.0,152.5,267.5,10,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
10,Nelson Castro (COL),55.32,115.0,145.0,260.0,11,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
11,Luis Medrano (GUA),55.94,115.0,142.5,257.5,12,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
12,Koki Tagashira (JPN),55.44,112.5,140.0,252.5,13,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
13,Éric Bonnel (FRA),55.7,112.5,140.0,252.5,14,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
14,Yasuji Kikuzuma (JPN),55.82,105.0,145.0,250.0,15,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
15,Thandava Murthy Muthu (IND),55.9,110.0,135.0,245.0,16,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
16,Mehmet Yağcı (AUS),55.94,105.0,130.0,235.0,17,https://en.wikipedia.org//wiki/Weightlifting_at_the_2000_Summer_Olympics_%E2%80%93_Men%27s_56_kg,Weightlifting at the 2000 Summer Olympics – Men's 56 kg,2000,Men
